"Subject","Condition","ScoreLevel1","ScoreLevel2","ScoreLevel3","ScoreLevel4","ScoreLevel5","ScoreLevel6","ScoreLevel7","ScoreLevel8","ScoreLevel9","ScoreLevel10","ScoreLevel11","ScoreLevel12","FinalScore","FinalScore"
3,2,13,112,120,127,102,66,71,-17,-75,47,-104,76,540,540
4,2,123,133,142,141,147,142,144,146,116,117,147,149,1652,1652
5,1,97,126,129,137,142,136,82,144,22,115,54,26,1214,1214
6,1,111,116,131,133,77,149,87,86,91,121,28,154,1289,1289
7,2,122,116,129,135,77,104,81,19,53,113,23,148,1124,1124
8,2,111,118,127,140,141,110,145,146,147,147,86,118,1542,1542
9,1,118,123,125,92,98,129,102,-17,-103,-43,-41,-134,451,451
10,1,121,130,136,138,110,141,113,114,115,146,86,117,1474,1474
11,1,118,126,137,136,141,142,81,113,54,53,85,84,1276,1276
12,1,115,129,136,140,142,147,147,88,150,122,123,94,1539,1539
13,2,83,88,100,80,32,28,-26,-203,-294,-110,-49,-110,-380,-380
14,2,104,118,120,120,127,126,68,11,-45,-105,-106,-45,495,495
15,1,115,129,131,130,143,144,146,82,118,149,115,90,1497,1497
16,2,118,116,117,127,98,130,132,47,-7,58,27,27,996,996
17,1,118,126,127,130,106,135,141,109,113,112,117,118,1459,1459
18,2,115,133,147,150,146,151,150,150,124,151,153,155,1731,1731
19,2,105,118,120,127,131,138,135,74,-10,87,85,120,1235,1235
20,2,121,116,133,134,143,78,113,114,86,117,150,58,1368,1368
21,1,103,114,132,129,134,104,109,112,82,146,86,149,1404,1404
22,1,107,73,122,95,105,129,136,142,114,114,87,56,1284,1284
24,2,116,124,141,144,148,153,120,155,122,156,153,124,1661,1661
25,1,111,129,135,144,140,141,144,147,83,148,149,88,1565,1565
26,1,122,129,135,135,138,104,111,115,143,82,85,56,1362,1362
27,2,111,116,121,126,127,128,130,-48,-78,-17,-13,83,788,788
28,2,128,128,134,97,108,143,146,115,116,116,149,151,1537,1537
29,2,99,99,109,118,92,121,65,-49,-171,-20,-167,-137,159,159
30,2,117,122,127,138,143,106,144,145,146,145,85,118,1542,1542
31,1,97,135,138,149,147,152,154,123,154,152,152,153,1711,1711
32,1,94,116,113,96,66,99,98,-79,-19,-166,-136,-166,116,116
33,1,115,123,126,98,101,134,105,110,50,143,53,25,1187,1187
34,2,92,110,117,120,96,128,-53,99,-109,-17,-44,15,556,556
35,1,113,130,135,106,42,77,72,79,84,-8,-6,55,883,883
36,2,114,132,128,138,143,138,112,84,53,85,53,25,1211,1211
37,2,106,114,128,136,105,109,140,47,83,118,86,87,1263,1263
38,1,106,121,124,99,79,141,83,82,121,120,91,28,1199,1199
39,2,119,138,140,110,119,144,145,122,120,89,119,92,1464,1464
40,1,90,112,78,126,95,96,-115,-23,11,-14,-107,-76,274,274
41,1,117,117,126,106,72,106,107,113,83,81,116,-4,1145,1145
42,1,88,112,119,125,127,129,69,-47,13,-165,-13,-43,516,516
